numero_proceso,expediente,nombre_proceso,tipo_proceso,fecha_apertura,estado,unidad_ejecutora,saf,scraped_at
79-0001-CDI24,EX-2024-23815562-   -APN-DCYC#JGM,Contratación de la firma EJES S.A. - servicio mensual de monitoreo de medios de comunicación,Contratación Directa,15/03/2024 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0001-CDI25,EX-2025-06470025-   -APN-DCYC#JGM,"Solicitud de adquisición, renovación y actualización licencias Microsoft.",Contratación Directa,23/01/2025 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0001-LPR24,EX-2024-39061865-   -APN-DCYC#JGM,Servicio de limpieza y desinfección de tanques de agua de los edificios pertenecientes a la JGM,Licitación Privada,13/06/2024 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0001-LPR25,EX-2025-09526797-   -APN-DCYC#JGM,Adquisición de enlaces de INTERNET y enlaces LAN to LAN.,Licitación Privada,28/02/2025 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0001-LPU25,EX-2025-04610315-   -APN-DCYC#JGM,SERVICIO INTEGRAL DE BARRIDO Y LIMPIEZA en los edificios de la JEFATURA DE GABINETE DE MINISTROS,Licitación Pública,05/03/2025 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0002-CDI23,EX-2022-138789155-   -APN-DCYS#JGM,Convenio con la EMPRESA ARGENTINA DE SOLUCIONES SATELITALES SOCIEDAD ANÓNIMA AR-SAT,Contratación Directa,09/01/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0002-CDI24,EX-2024-27645021-   -APN-DCYC#JGM,Servicio de mantenimiento de persianas y portón de acceso vehicular,Contratación Directa,06/06/2024 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0002-CDI25,EX-2025-36203585-   -APN-DCYC#JGM,Adquisición de elementos de protección personal para talleres de mantenimiento de la JGM,Contratación Directa,28/05/2025 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0002-LPR23,EX-2022-138222066-   -APN-DCYS#JGM,Servicio de guardería de vehículos para la flota automotor de la JEFATURA DE GABINETE DE MINISTROS,Licitación Privada,08/03/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0002-LPR24,EX-2024-50162483-   -APN-DCYC#JGM,PROVISIÓN DE ALIMENTOS PARA LAS DISTINTAS DEPENDENCIAS DE LA JEFATURA DE GABINETE DE MINISTROS.,Licitación Privada,31/10/2024 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0002-LPR25,EX-2025-27469866-   -APN-DCYC#JGM,Seguros con cobertura de Todo Riesgo Operativo y Responsabilidad Civil para JGM,Licitación Privada,02/06/2025 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0002-LPU25,EX-2025-106423734-   -APN-DCYC#JGM,"Servicio de mantenimiento integral, correctivo con asistencia tecnica para los ascensores de JGM",Licitación Pública,01/12/2025 10:00 Hrs.,Disponible Para Adjudicar,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0003-CDI23,EX-2022-130471920-   -APN-DCYS#JGM,Convenio con CORREO OFICIAL DE LA REPÚBLICA ARGENTINA S.A.,Contratación Directa,20/01/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0003-CDI25,EX-2025-37612865-   -APN-DCYC#JGM,Adquisición de indumentaria y calzado para el personal de la JGM,Contratación Directa,06/06/2025 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0003-LPR23,EX-2023-32378352-   -APN-DCYS#JGM,Servicio de mantenimiento del Sistema de Administración de Recursos Humanos “SARHA”,Licitación Privada,24/04/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0003-LPR24,EX-2024-50810027-   -APN-DCYC#JGM,Adquisición de materiales eléctricos para la JEFATURA DE GABINETE DE MINISTROS,Licitación Privada,27/08/2024 11:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0003-LPR25,EX-2025-39966233-   -APN-DCYC#JGM,Requerimiento Servicio de mantenimiento y soporte de base de datos Oracle y consultoría,Licitación Privada,24/06/2025 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0003-LPR26,EX-2026-30349544-   -APN-DCYC#JGM,Adquisición de solución integral “llave en mano” para la renovación de licencias de equipos de Borde,Licitación Privada,17/04/2026 09:00 Hrs.,Preadjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0003-LPU23,EX-2023-04705072-   -APN-DCYS#JGM,Servicio de suscripción de Licencias ADOBE CREATIVE CLOUD FOR TEAMS ALL APPS,Licitación Pública,16/02/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0003-LPU25,EX-2025-108450275-   -APN-DCYC#JGM,CONTRATACIÓN DE UN SERVICIO MANEJO INTEGRAL DE PLAGAS Y LIMPIEZA DE TANQUES DE AGUA POTABLE JGM,Licitación Pública,01/12/2025 10:00 Hrs.,Disponible Para Adjudicar,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0004-CDI23,EX-2023-09885703-   -APN-DCYS#JGM,Contratación de un servicio de monitoreo de medios de comunicación brindado por la firma EJES S.A.,Contratación Directa,02/05/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0004-CDI24,EX-2024-30445130-   -APN-DCYC#JGM,Contratación de OTOBA S.A. para el servicio de alquiler de oficinas en inmueble,Contratación Directa,09/04/2024 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0004-CDI25,EX-2025-91628261-   -APN-DCYC#JGM,Adquisición de útiles de oficina para la JEFATURA E GABINETE DE MINISTROS,Contratación Directa,10/10/2025 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0004-LPR23,EX-2023-36333554-   -APN-DCYS#JGM,"Servicio de mantenimiento preventivo, correctivo y de emergencia de vehículos de la JGM",Licitación Privada,05/05/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0005-CDI23,EX-2023-11308221-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE CUYO y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,30/03/2023 09:00 Hrs.,Desierto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0005-CDI24,EX-2024-31588208-   -APN-DGCYC#JGM,Adquisicion de Certificados de Seguridad SSL a implementarse en Jefatura de Gabinete de Ministros,Contratación Directa,24/05/2024 11:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0005-CDI25,EX-2025-99328485-   -APN-DCYC#JGM,Contratación de un Servicio Integral de Exámenes Preocupacionales,Contratación Directa,16/10/2025 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0005-LPR23,EX-2023-39775566-   -APN-DCYS#JGM,Adquisición de bienes para el desarrollo de diferentes jornadas y actividades INJUVE,Licitación Privada,12/05/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0005-LPU24,EX-2024-51373066-   -APN-DCYC#JGM,Servicio de restauración y mantenimiento integral de los ascensores de la JGM,Licitación Pública,04/11/2024 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0006-CDI23,EX-2023-11316495-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE ROSARIO y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,30/03/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0006-CDI25,EX-2025-99328533-   -APN-DCYC#JGM,CONTRATACIÓN DE SERVICIO INTEGRAL PARA LA GESTIÓN DE RESIDUOS PATOGÉNICOS,Contratación Directa,16/10/2025 10:00 Hrs.,Fracasado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0006-LPR23,EX-2023-39892678-   -APN-DCYS#JGM,Adquisición de resmas de papel,Licitación Privada,28/04/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0006-LPR24,EX-2024-52999378-   -APN-DCYC#JGM,ADQUISICIÓN DE ARTÍCULOS DE LIMPIEZA PARA JGM,Licitación Privada,20/09/2024 11:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0007-CDI23,EX-2023-11321415-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DEL SUR y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,30/03/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
