numero_proceso,expediente,nombre_proceso,tipo_proceso,fecha_apertura,estado,unidad_ejecutora,saf,scraped_at
83-0001-CDI23,EX-2023-01260880-   -APN-DCYC#MC,"Contratación Directa por Especialidad - ""Intervenciones CCK"" (GONZÁLEZ DEL RÍO PEÑA S.R.L.)",Contratación Directa,27/01/2023 15:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0001-CDI25,EX-2025-118692370-   -APN-DCYC#SC,SERVICIO DE EMBALAJE Y TRASLADO DE OBRAS DE ARTE,Contratación Directa,12/11/2025 15:00 Hrs.,Dejado Sin Efecto,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0001-CDI26,EX-2026-09159669-   -APN-DCYC#SC,"Servicio de mantenimiento, afinación, puesta a punto y reparación de plaquetas de órgano",Contratación Directa,13/03/2026 13:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0001-LPR23,EX-2023-01753490-   -APN-DCYC#MC,Soporte y Mantenimiento del Sistema de Administración de Recursos Humanos “SARHA”,Licitación Privada,22/02/2023 15:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0001-LPR26,EX-2026-16110394-   -APN-DCYC#SC,Servicio de emergencias y urgencias médicas (Área Protegida) para todas las sedes de la Sec. Cultura,Licitación Privada,10/04/2026 13:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0001-LPU23,EX-2023-01469098-   -APN-DCYC#MC,Adquisición de Insumos de Carpintería - Parque Tecnópolis del Bicentenario.,Licitación Pública,08/03/2023 14:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0002-CDI23,EX-2023-04555291-   -APN-DCYC#MC,Servicio de área protegida en el MINISTERIO DE CULTURA,Contratación Directa,06/06/2023 13:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0002-CDI25,EX-2025-141594030-   -APN-DCYC#SC,"Servicio de mantenimiento, optimización y calibración del sistema de sonido",Contratación Directa,18/02/2026 13:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0002-LPR23,EX-2023-02065769-   -APN-DCYC#MC,Servicio de tratamiento ignífugo Segundo Llamado,Licitación Privada,14/03/2023 13:00 Hrs.,Dejado Sin Efecto,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0002-LPR26,EX-2026-42777961-   -APN-DCYC#SC,Adquisición de Lámparas escénicas con destino al Palacio Libertad - Centro Cultural Domingo Faustino,Licitación Privada,16/06/2026 13:00 Hrs.,En Apertura,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0002-LPU23,EX-2023-04776605-   -APN-DCYC#MC,Mantenimiento de Grupos Electrógenos,Licitación Pública,28/04/2023 12:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0003-CDI23,EX-2023-06384974-   -APN-DCYC#MC,Servicio de Construcción en seco para Muestras de Arte - Museo Nacional de Bellas Artes.,Contratación Directa,23/02/2023 12:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0003-CDI26,EX-2026-15304745-   -APN-DCYC#SC,Adquisición de licencias de Adobe Creative Cloud para la Secretaría de Cultura,Contratación Directa,20/03/2026 13:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0003-LPR23,EX-2023-08247236-   -APN-DCYC#MC,Servicio de Hospedaje - Centro Cultural Kirchner,Licitación Privada,17/02/2023 13:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0003-LPU23,EX-2023-05002251-   -APN-DCYC#MC,Adquisición de Insumos de Parquizacion - PARQUE TECNÓPOLIS,Licitación Pública,08/03/2023 11:00 Hrs.,Dejado Sin Efecto,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0004-CDI23,EX-2023-07089244-   -APN-DCYC#MC,Adquisición de Equipos de Comunicación (Handies de Alta Frecuencia) - Museo Histórico del Norte,Contratación Directa,13/04/2023 12:00 Hrs.,Dejado Sin Efecto,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
