numero_proceso,expediente,nombre_proceso,tipo_proceso,fecha_apertura,estado,unidad_ejecutora,saf,scraped_at
23-0001-CDI23,EX-2023-01716456-   -APN-CGD#SGP,Adquisición de licencias y suscripción de productos Windows MICROSOFT,Contratación Directa,17/02/2023 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0001-CDI24,EX-2024-05388829-   -APN-CGD#SGP,Convenio Interadministrativo entre la SECRETARIA GENERAL e YPF S.A. Programa YPF ENRUTA,Contratación Directa,20/03/2024 14:00 Hrs.,Dejado Sin Efecto,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0001-CDI25,EX-2025-07449773-   -APN-CGD#SGP,"Adquisición de artículos de librería, útiles de oficina e Insumos para la SSCA - SGP",Contratación Directa,18/03/2025 08:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0001-CDI26,EX-2026-03255789-   -APN-CGD#SGP,"Servicio de seguros para moto vehículos y vehículos eléctricos de SGP, por 12 meses c/opc. prórroga",Contratación Directa,11/02/2026 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0001-CPR23,EX-2023-36294267-   -APN-CGD#SGP,Contratación del servicio de aprovisionamiento de comida para lo agentes de Dir General de Logistica,Concurso Privado,22/06/2023 16:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0001-LPR23,EX-2022-76077135-   -APN-CGD#SGP,Adquisición de materiales de construcción para armado de sala de scanner - Residencia Chapadmalal,Licitación Privada,23/02/2023 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0001-LPR24,EX-2024-18120142-   -APN-CGD#SGP,Adquisición de repuestos para el sistema de impedimento de acceso vehicular para la Sec. General,Licitación Privada,23/08/2024 15:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0001-LPR25,EX-2025-21937276-   -APN-CGD#SGP,Adquisición de indumentaria distintiva para el personal de la Casa Militar.,Licitación Privada,14/04/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0001-LPR26,EX-2026-03192484-   -APN-CGD#SGP,"Servicio de mantenimiento, soporte y actualización del software Veeam Availability Suite Enterprise",Licitación Privada,06/02/2026 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0001-LPU23,EX-2023-04588023-   -APN-CGD#SGP,Serv. de Consultoría para la Alta Disponibilidad Infraestructura y los Servicios TI&C del Data Cente,Licitación Pública,15/03/2023 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0001-LPU25,EX-2025-20141134-   -APN-CGD#SGP,Contratación de seguros para las aeronaves de la Flota Aérea Presidencial.,Licitación Pública,08/05/2025 16:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0001-LPU26,EX-2025-126707282-   -APN-CGD#SGP,"Adquisición de café en grano, azúcar en sobres, y edulcorante, con máquinas en comodato.",Licitación Pública,16/03/2026 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0002-CDI23,EX-2023-02231733-   -APN-CGD#SGP,Renovación Seguro Accidentes Personales - Período 2023,Contratación Directa,31/01/2023 17:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0002-CDI24,EX-2024-14934446-   -APN-CGD#SGP,Renovación seguro accidentes personales agentes modalidad Decreto N° 1.109/2017,Contratación Directa,29/02/2024 12:00 Hrs.,Dejado Sin Efecto,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0002-CDI25,EX-2025-15905485-   -APN-CGD#SGP,Servicio de área protegida para las dependencias de la SG de PN por el término de DOCE (12) meses.,Contratación Directa,20/05/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0002-CDI26,EX-2026-34797813-   -APN-CGD#SGP,Adquisición de astas y bases reglamentarias de madera para exhibición de banderas de ceremonia.,Contratación Directa,16/06/2026 12:00 Hrs.,Preadjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0002-LPR23,EX-2023-07535844-   -APN-CGD#SGP,Contratación del servicio de área protegida para las dependencias de la SECRETARÍA GENERAL,Licitación Privada,10/03/2023 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0002-LPR25,EX-2025-27458852-   -APN-CGD#SGP,"Alquiler de 6 módulos habitacionales de tipo contenedor, Policia Federal Argentina C de Gobierno",Licitación Privada,09/05/2025 13:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0002-LPR26,EX-2026-05976259-   -APN-CGD#SGP,Servicios de conectividad satelital p/ equipos STARLINK y servicio técnico p/ SGP,Licitación Privada,24/02/2026 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0002-LPU23,EX-2023-05539661-   -APN-CGD#SGP,Adquisición de bebidas  para Casa de Gobierno y R.P. DE CHAPADMALAL.,Licitación Pública,10/03/2023 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0002-LPU24,EX-2024-42363609-   -APN-CGD#SGP,Provisión de productos secos de almacén,Licitación Pública,23/08/2024 12:00 Hrs.,Dejado Sin Efecto,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0002-LPU25,EX-2025-24543223-   -APN-CGD#SGP,Adquisición de UN (1) robot scanner destinado a la Casa Militar.,Licitación Pública,05/05/2025 12:30 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0002-LPU26,EX-2026-14206077-   -APN-CGD#SGP,Adquisición de software Adobe y Autodesk con servicio de actualización online y asistencia técnica,Licitación Pública,19/03/2026 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0003-CDI23,EX-2023-09122233-   -APN-CGD#SGP,CONVENIO  ENTRE SEC GENERAL Y LA FÁBRICA ARGENTINA DE AVIONES “BRIG. SAN MARTÍN” S.A,Contratación Directa,27/02/2023 13:00 Hrs.,Adjudicado con doc. contractuales generados,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0003-CDI24,EX-2024-16154710-   -APN-CGD#SGP,Renovación seguro Fine Art cuadro Mariano Moreno,Contratación Directa,26/02/2024 11:30 Hrs.,Dejado Sin Efecto,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0003-CDI25,EX-2024-141191064-   -APN-CGD#SGP,Contratación de Servicios de Transmisión de Datos/Enlace Punto a Punto para la Red de Datos - SGP,Contratación Directa,28/03/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0003-CDI26,EX-2026-35879760-   -APN-CGD#SGP,"Provisión, instalación de conmutador motorizado para tablero de transferencia del Data Center.",Contratación Directa,12/05/2026 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0003-LPR23,EX-2023-10292561-   -APN-CGD#SGP,Servicio de Puesta a punto y Actualización del Camión Cisterna Ford Cargo C-1517e,Licitación Privada,28/04/2023 17:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0003-LPR24,EX-2024-40774881-   -APN-CGD#SGP,Adquisición productos de panadería destinados a Casa de Gobierno y Residencia Presidencial de Olivos,Licitación Privada,06/09/2024 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0003-LPR25,EX-2025-29798092-   -APN-CGD#SGP,Adquisición de neumáticos destinados a dependencias de la SECRETARÍA GENERAL,Licitación Privada,17/06/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0003-LPR26,EX-2026-10031893-   -APN-CGD#SGP,"Adquisición de PRODUCTOS FRESCOS DE ALMACÉN, con destino a CASA DE GOBIERNO Y RP OLIVOS.",Licitación Privada,20/03/2026 09:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0003-LPU24,EX-2024-48844377-   -APN-CGD#SGP,Servicio de alquiler de vehículos sin chofer para el traslado de personal de la CASA MILITAR,Licitación Pública,28/08/2024 14:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0003-LPU25,EX-2025-39073914-   -APN-CGD#SGP,"Adquisición de PRODUCTOS FRESCOS DE ALMACÉN, con destino a CASA DE GOBIERNO Y RP OLIVOS.",Licitación Pública,18/07/2025 10:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0003-LPU26,EX-2026-17000253-   -APN-CGD#SGP,"Mantenimiento de las cámaras frigoríficas, heladeras y freezers en Casa de Gobierno y RPO",Licitación Pública,30/03/2026 12:00 Hrs.,Dejado Sin Efecto,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0004-CDI23,EX-2023-09392151-   -APN-CGD#SGP,Renovación seguro robo y riesgos similares Rampas Museo - Período 23,Contratación Directa,03/02/2023 11:30 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0004-CDI24,EX-2024-21841140-   -APN-CGD#SGP,Adquisición de Lavarropas para la guardia de Casa de Gobierno dependiente de Casa Militar,Contratación Directa,30/08/2024 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0004-CDI25,EX-2025-29801328-   -APN-CGD#SGP,Adquisición de baterías eléctricas destinadas a los vehículos del Área de Transporte Terrestre,Contratación Directa,26/05/2025 10:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0004-CDI26,EX-2026-37353628-   -APN-CGD#SGP,CONTRATACIÓN DE UN SERVICIO TÉCNICO-PROFESIONAL ESPECIALIZADO EN CONTROL BROMATOLÓGICO,Contratación Directa,23/06/2026 10:00 Hrs.,En Evaluacion,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0004-LPR23,EX-2023-11406110-   -APN-CGD#SGP,Adquisición de Folletos para la Dirección de Programas Culturales y Museo Casa Rosada,Licitación Privada,10/03/2023 13:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0004-LPR24,EX-2024-68004897-   -APN-CGD#SGP,Servicio de mantenimiento integral preventivo y correctivo del sistema de vigilancia para Sec. Gral.,Licitación Privada,13/09/2024 14:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0004-LPR25,EX-2025-44808730-   -APN-CGD#SGP,Adquisición de materiales de pintura destinados a la RESIDENCIA PRESIDENCIAL DE CHAPADMALAL,Licitación Privada,24/06/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
